Edad,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AvgMonthSpend,BikeBuyerText,,
21,High School,Skilled Manual,F,S,0,0,0,0,52928,52.17,YES,,
30,Bachelors,Clerical,F,S,0,2,0,0,79224,52.31,YES,,
34,Partial College,Manual,M,M,0,0,0,1,33076,53.13,YES,,
31,High School,Skilled Manual,F,M,1,1,0,2,56641,48.89,NO,,
35,High School,Manual,M,M,1,0,0,1,27203,52.46,NO,,
30,High School,Clerical,F,S,0,3,0,0,77098,50.21,NO,,
28,Bachelors,Management,M,M,1,3,2,2,103200,53.97,YES,,
32,Bachelors,Skilled Manual,F,S,0,2,0,0,53784,50.85,NO,,
43,Partial College,Manual,F,S,0,1,0,0,25826,47.53,NO,,
35,High School,Manual,M,M,1,0,1,1,30925,50.48,YES,,
46,Partial High School,Manual,F,M,1,1,1,2,30288,50.57,NO,,
32,Bachelors,Manual,M,S,0,0,0,0,34685,48.1,YES,,
28,Graduate Degree,Skilled Manual,F,M,0,1,1,1,58213,51.99,YES,,
21,Partial College,Management,M,S,0,0,0,0,108342,51.43,YES,,
30,Bachelors,Professional,F,M,1,2,1,1,130385,55.52,YES,,
32,Partial College,Skilled Manual,F,S,0,2,0,0,58227,50.76,YES,,
22,Partial College,Skilled Manual,M,S,0,1,0,0,52156,47.68,YES,,
31,Graduate Degree,Professional,M,S,1,2,0,0,131458,57.1,YES,,
19,Partial College,Manual,M,S,0,1,0,0,33510,46.25,NO,,
51,High School,Skilled Manual,F,S,1,1,0,1,56785,51.34,NO,,
23,Partial College,Skilled Manual,F,S,0,1,0,0,58201,51.29,NO,,
32,Bachelors,Clerical,F,M,1,2,0,1,82359,49.64,YES,,
52,Partial High School,Skilled Manual,F,M,1,2,1,2,55654,50.98,YES,,
37,High School,Manual,M,M,1,1,1,2,33167,58.85,NO,,
51,Partial College,Management,F,S,1,3,0,1,107883,52.81,YES,,
60,High School,Clerical,F,M,1,1,2,2,80056,53.16,YES,,
32,Partial High School,Skilled Manual,M,S,0,2,0,0,54577,49.8,YES,,
30,Bachelors,Manual,M,M,0,0,1,1,36070,59.05,YES,,
33,Bachelors,Skilled Manual,M,M,1,2,1,2,54049,54.19,YES,,
18,Partial College,Management,M,S,0,1,0,0,112726,55.8,NO,,
46,Partial College,Manual,M,M,1,1,0,2,29749,48.95,NO,,
39,Bachelors,Skilled Manual,M,M,1,2,2,2,56820,55.26,YES,,
47,Partial College,Management,F,S,1,3,0,0,102647,51.75,YES,,
21,Partial College,Clerical,F,S,0,2,0,0,82258,51.48,YES,,
40,High School,Skilled Manual,M,M,1,1,2,2,54200,55.34,YES,,
21,Partial College,Skilled Manual,F,S,0,2,0,0,60908,51.97,YES,,
30,Bachelors,Management,M,S,1,2,0,0,105007,54.5,YES,,
40,High School,Manual,F,M,1,0,1,1,32319,48.12,YES,,
35,Partial College,Skilled Manual,M,S,0,1,0,0,52311,57.27,NO,,
36,Partial College,Clerical,F,S,1,2,0,0,82851,54.25,NO,,
46,High School,Manual,M,M,1,1,2,2,29111,53.22,NO,,
29,Graduate Degree,Clerical,M,M,1,1,1,1,81985,52.19,YES,,
48,Partial High School,Manual,F,S,1,0,0,0,33954,46.19,NO,,
21,Partial College,Manual,F,S,0,0,0,0,29016,45.76,NO,,
50,High School,Manual,F,M,1,0,1,2,33152,50.02,YES,,
59,Graduate Degree,Clerical,M,M,1,1,2,2,80331,53.77,YES,,
51,Bachelors,Clerical,F,S,1,1,1,1,79235,51.62,NO,,
27,Graduate Degree,Manual,F,S,0,1,0,0,35390,50.42,NO,,
23,Graduate Degree,Professional,M,S,0,3,0,0,136457,52.17,NO,,
44,High School,Skilled Manual,F,S,1,1,0,0,53549,53.1,NO,,
36,Partial College,Clerical,F,M,1,0,1,2,85674,50.64,YES,,
50,Bachelors,Professional,M,M,1,3,0,2,129242,52.48,YES,,
41,Partial High School,Skilled Manual,F,M,1,1,2,2,61829,52.85,YES,,
32,Bachelors,Management,M,S,1,3,0,0,111980,59.52,YES,,
29,Bachelors,Skilled Manual,F,M,1,0,1,1,54675,52.61,YES,,
40,Partial College,Management,F,S,1,3,0,0,106648,53.81,YES,,
24,Partial High School,Skilled Manual,M,S,0,1,0,0,58037,52.65,NO,,
24,Partial College,Management,F,M,1,2,0,1,106062,51.69,YES,,
31,High School,Manual,M,S,0,1,0,0,28008,56.39,NO,,
57,Graduate Degree,Clerical,M,M,1,2,0,3,86828,50.62,NO,,
35,Partial College,Skilled Manual,M,S,0,2,0,0,61109,57.61,YES,,
58,Graduate Degree,Manual,F,M,1,1,1,2,35142,47.02,NO,,
20,High School,Skilled Manual,F,M,0,2,0,0,59673,48.54,NO,,
54,Bachelors,Professional,M,M,1,3,1,2,133272,56.63,YES,,
54,Partial College,Clerical,M,S,1,3,0,1,81957,50.09,NO,,
23,Partial College,Management,F,S,0,1,0,0,103314,52.78,NO,,
30,Graduate Degree,Management,F,S,1,2,0,0,103546,51.61,YES,,
29,Bachelors,Skilled Manual,M,M,0,0,1,1,58317,48.05,YES,,
57,Bachelors,Skilled Manual,M,M,1,2,0,2,55825,48.53,NO,,
31,Graduate Degree,Manual,F,S,0,1,0,0,36367,48.33,NO,,
28,Bachelors,Management,F,S,0,2,0,0,107852,54.89,YES,,
21,Bachelors,Management,M,M,1,0,0,0,105888,51.31,NO,,
41,Partial High School,Manual,M,S,0,1,0,0,31956,50.51,NO,,
20,High School,Clerical,F,M,0,0,0,0,83026,50.25,YES,,
30,Graduate Degree,Management,M,S,1,2,0,0,110808,56.85,YES,,
49,Partial High School,Skilled Manual,F,M,1,1,2,2,51566,50.94,YES,,
33,Bachelors,Professional,F,M,1,3,1,2,132962,54.67,YES,,
44,Graduate Degree,Professional,M,S,1,2,0,0,135064,55.61,YES,,
44,Graduate Degree,Professional,F,S,1,2,0,0,135997,54.2,YES,,
26,High School,Skilled Manual,F,S,0,1,0,0,57770,49.68,NO,,
24,Bachelors,Management,M,S,0,1,0,0,113290,54.55,NO,,
55,Partial College,Clerical,F,M,1,1,1,2,81214,54.11,NO,,
37,Bachelors,Clerical,F,M,1,2,0,2,80624,49.58,NO,,
51,Bachelors,Management,F,S,1,2,0,1,106908,53.03,NO,,
32,Bachelors,Skilled Manual,M,S,0,1,0,0,51796,56.24,NO,,
26,Graduate Degree,Clerical,M,M,1,2,1,2,80764,52.27,YES,,
33,Partial High School,Manual,F,M,0,0,0,1,35297,47.28,NO,,
20,Partial College,Clerical,F,S,0,1,0,0,78604,51.54,NO,,
34,Bachelors,Management,M,M,1,3,0,0,102869,57.71,NO,,
41,High School,Skilled Manual,M,M,1,1,1,2,62293,54.24,YES,,
35,Partial College,Manual,M,S,0,1,0,0,34607,48.11,YES,,
41,Partial College,Skilled Manual,F,M,1,2,1,2,53042,50.06,YES,,
26,Bachelors,Management,F,S,0,1,0,0,106195,55.41,NO,,
45,Partial College,Management,F,M,1,2,0,2,106360,51.7,YES,,
39,Partial College,Management,M,M,1,2,1,1,110288,54.03,YES,,
25,Graduate Degree,Management,M,S,0,1,0,0,112590,52.71,YES,,
48,Partial College,Manual,M,M,1,0,1,2,30844,52.73,YES,,
57,Graduate Degree,Management,M,M,1,2,0,3,109611,51,NO,,
30,Partial College,Management,F,S,1,2,0,0,111685,52.96,YES,,
58,Graduate Degree,Manual,F,S,1,0,1,1,30259,49.14,YES,,
21,Partial College,Clerical,M,S,0,2,0,0,82339,52.62,NO,,
35,High School,Clerical,M,S,1,1,0,0,87633,61.12,YES,,
28,Graduate Degree,Clerical,M,S,0,1,0,0,80782,51.66,YES,,
41,Partial College,Skilled Manual,F,M,1,1,0,2,57125,48.74,YES,,
36,Bachelors,Skilled Manual,M,S,0,2,0,0,56092,50.33,YES,,
38,Graduate Degree,Professional,F,M,1,2,0,0,131943,52.71,YES,,
47,Partial High School,Skilled Manual,M,M,1,2,0,2,52627,50.78,NO,,
37,Partial College,Manual,M,M,1,1,0,2,26331,53.52,NO,,
22,Bachelors,Manual,M,S,0,1,0,0,27908,48.73,NO,,
32,High School,Skilled Manual,M,S,0,1,0,0,56751,60.78,NO,,
44,Bachelors,Manual,M,M,1,1,1,2,32619,57.06,YES,,
32,Bachelors,Management,F,M,1,3,0,0,105983,51.26,NO,,
26,Graduate Degree,Professional,F,M,1,1,1,2,128877,52.95,YES,,
53,High School,Skilled Manual,F,S,1,2,1,1,55000,49.93,YES,,
21,High School,Skilled Manual,F,S,0,1,0,0,50910,48.8,NO,,
32,Partial College,Skilled Manual,M,M,1,2,1,1,57493,52.42,YES,,
55,Partial College,Clerical,F,S,1,0,1,1,82095,53.16,YES,,
22,Bachelors,Professional,M,S,0,2,0,0,136001,56.7,NO,,
30,Bachelors,Management,F,M,1,3,0,0,104443,51.04,YES,,
33,Partial College,Skilled Manual,F,S,0,1,0,0,59013,49.99,NO,,
38,Partial College,Skilled Manual,M,S,0,1,0,0,54240,56.33,NO,,
50,Bachelors,Management,F,M,1,3,0,2,103150,50.8,YES,,
37,Partial College,Management,F,M,1,3,1,2,108823,53.12,YES,,
21,High School,Clerical,F,S,0,2,0,0,77300,53.95,NO,,
40,Partial College,Clerical,F,M,1,2,0,1,82308,49.8,YES,,
39,Graduate Degree,Professional,F,S,1,1,0,0,129719,56.22,NO,,
21,Partial College,Manual,M,S,0,0,0,0,36588,46.38,NO,,
40,Partial College,Clerical,F,S,1,3,0,0,81053,50.38,NO,,
46,High School,Manual,F,M,1,0,2,2,35160,48.62,YES,,
40,High School,Skilled Manual,M,S,1,1,0,0,57655,57.32,NO,,
43,Partial High School,Skilled Manual,M,M,1,2,1,1,61513,57.36,YES,,
16,High School,Skilled Manual,M,M,0,0,0,0,57933,48.84,YES,,
24,Bachelors,Management,M,S,0,2,0,0,104429,54.84,YES,,
45,High School,Manual,M,M,1,0,0,2,32494,52.5,YES,,
19,High School,Skilled Manual,F,M,0,2,0,0,51293,48.28,NO,,
52,Partial College,Clerical,M,M,1,3,1,2,78805,49.99,YES,,
17,Partial High School,Manual,M,S,0,1,0,0,33244,48.21,NO,,
35,Partial College,Manual,M,M,1,1,1,1,30115,59.27,YES,,
50,Partial College,Skilled Manual,M,S,1,1,1,1,55404,50.3,YES,,
44,Partial College,Manual,F,S,0,0,0,0,34165,47.46,NO,,
41,High School,Skilled Manual,M,M,1,2,1,2,57132,53.79,YES,,
28,Graduate Degree,Professional,M,S,1,2,0,0,132560,52.2,NO,,
42,High School,Skilled Manual,M,M,1,1,1,2,53062,54.72,YES,,
54,Bachelors,Clerical,F,M,1,0,1,2,79950,52.93,YES,,
34,Bachelors,Clerical,M,M,1,2,0,1,83167,57.56,YES,,
35,Partial College,Clerical,M,S,1,0,0,0,77729,51.78,YES,,
43,Partial College,Skilled Manual,F,M,1,1,1,1,54058,48.36,YES,,
38,Graduate Degree,Clerical,F,M,1,1,0,2,87071,50.5,YES,,
22,High School,Manual,F,S,0,0,0,0,26818,47.15,NO,,
43,Bachelors,Skilled Manual,M,M,1,0,0,2,52630,49.83,YES,,
41,Partial College,Clerical,M,M,1,2,0,2,83410,54.85,YES,,
37,Partial College,Clerical,F,M,1,2,1,2,83299,51.33,YES,,
54,Bachelors,Skilled Manual,F,S,1,1,1,1,54201,50.72,NO,,
31,Graduate Degree,Professional,F,S,1,2,0,0,133136,53.04,YES,,
18,Partial High School,Skilled Manual,M,S,0,2,0,0,60371,51.53,YES,,
40,Partial College,Skilled Manual,F,M,1,1,1,2,55220,48.65,YES,,
37,Partial College,Clerical,M,M,1,1,0,2,85098,53.81,NO,,
29,Bachelors,Professional,M,S,1,2,0,0,129013,54.8,YES,,
29,Bachelors,Management,F,S,0,2,0,0,106013,55.82,YES,,
20,Partial College,Clerical,F,S,0,2,0,0,77922,51.39,YES,,
28,Graduate Degree,Management,F,M,1,3,0,0,104734,51.2,NO,,
24,Partial College,Clerical,F,S,0,2,0,0,83202,53.98,NO,,
53,High School,Skilled Manual,M,M,1,1,1,2,61391,50.08,YES,,
46,High School,Clerical,F,S,1,0,0,0,82687,52.24,NO,,
22,Partial College,Clerical,M,S,0,1,0,0,83361,50.99,NO,,
23,Bachelors,Skilled Manual,F,M,0,2,0,0,57161,47.93,YES,,
36,Graduate Degree,Management,F,M,1,3,1,2,109320,54.16,YES,,
37,Partial College,Manual,M,M,1,1,1,2,27866,58.64,NO,,
44,High School,Skilled Manual,F,S,1,1,0,0,53889,49.64,NO,,
50,Partial High School,Skilled Manual,M,M,1,0,0,2,53916,48.5,YES,,
18,High School,Skilled Manual,F,M,0,1,0,0,56880,48.52,NO,,
40,High School,Clerical,F,M,1,3,1,2,85533,53.51,YES,,
34,Bachelors,Management,F,S,1,1,0,0,109072,51.35,NO,,
35,Graduate Degree,Management,M,M,1,4,0,2,110148,52.17,NO,,
32,Partial College,Management,F,M,1,2,1,2,103959,55.47,YES,,
18,High School,Skilled Manual,F,S,0,1,0,0,54230,49.34,NO,,
39,Bachelors,Professional,F,S,1,2,0,0,133903,54.91,YES,,
35,Bachelors,Clerical,M,S,1,1,0,0,79311,57.12,YES,,
36,Partial College,Clerical,F,M,1,2,0,2,84084,49.84,YES,,
28,Bachelors,Skilled Manual,M,S,0,2,0,0,54821,51.55,YES,,
42,Partial College,Clerical,M,M,1,2,1,2,77748,56.89,YES,,
51,High School,Manual,M,M,1,0,2,2,27122,46.82,NO,,
34,Partial College,Skilled Manual,M,S,0,0,0,0,62520,50.43,YES,,
18,Partial College,Skilled Manual,F,S,0,1,0,0,55096,48.2,NO,,
52,Bachelors,Clerical,M,M,1,2,1,2,83229,54.53,YES,,
58,Bachelors,Skilled Manual,F,M,1,0,0,3,60347,48.28,NO,,
32,Partial College,Manual,F,M,0,0,1,1,27006,47.03,NO,,
48,High School,Skilled Manual,M,S,1,0,0,0,56071,53.02,NO,,
47,Partial College,Skilled Manual,M,S,1,0,0,0,51705,48.04,YES,,
31,Graduate Degree,Clerical,M,M,1,0,1,2,87993,61.69,YES,,
42,Partial College,Clerical,F,M,1,2,0,2,81913,50.37,YES,,
33,Bachelors,Skilled Manual,F,S,0,0,0,0,55838,51.84,YES,,
38,Partial College,Manual,F,S,0,1,0,0,32924,48.47,NO,,
37,Bachelors,Professional,F,M,1,2,2,2,136633,52.44,YES,,
63,Graduate Degree,Manual,M,M,1,1,0,3,28954,45.77,NO,,
37,Partial College,Clerical,M,M,1,1,0,1,78271,54.57,NO,,
23,Partial College,Skilled Manual,M,S,0,0,0,0,54082,52.55,YES,,
36,Partial College,Management,F,S,1,2,0,0,102019,51.15,YES,,
39,Bachelors,Skilled Manual,M,M,1,1,0,2,58336,55.31,YES,,
30,Bachelors,Management,M,M,1,2,0,0,106235,50.93,YES,,
31,Graduate Degree,Professional,M,M,1,1,0,2,132506,55.78,NO,,
40,Partial College,Skilled Manual,F,M,1,0,2,2,61547,52.04,YES,,
59,Graduate Degree,Professional,M,S,1,2,1,1,134871,54.78,YES,,
28,High School,Skilled Manual,F,S,0,1,0,0,51970,48.52,NO,,
26,Graduate Degree,Professional,F,S,1,3,0,0,129017,52.94,YES,,
48,High School,Skilled Manual,F,S,1,1,0,0,51980,49.82,NO,,
29,Bachelors,Management,F,S,0,1,0,0,107530,53.85,NO,,
26,Graduate Degree,Clerical,M,M,1,1,0,1,80444,49.84,YES,,
35,Partial College,Management,F,S,1,2,0,0,105715,52.54,YES,,
62,Graduate Degree,Clerical,M,S,1,0,0,1,77151,53.76,YES,,
39,Bachelors,Clerical,F,M,1,1,0,2,81669,50.68,NO,,
30,Graduate Degree,Clerical,F,S,0,2,0,0,81432,53.33,NO,,
21,Bachelors,Manual,M,S,0,0,0,0,34298,49.64,YES,,
38,Bachelors,Management,F,M,1,1,0,2,107934,50.55,NO,,
24,Graduate Degree,Management,F,S,0,2,0,0,109457,55.18,YES,,
27,Bachelors,Skilled Manual,M,M,0,1,1,1,54266,48.71,YES,,
29,High School,Manual,F,S,0,0,0,0,26150,45.07,NO,,
30,Graduate Degree,Management,M,M,1,3,1,2,112302,65.29,YES,,
37,Graduate Degree,Clerical,F,M,1,3,1,1,81542,52.28,YES,,
45,High School,Skilled Manual,M,M,1,2,1,2,51854,48.96,YES,,
31,Bachelors,Skilled Manual,F,S,0,0,0,0,54153,49.83,YES,,
33,Bachelors,Management,M,S,1,1,0,0,105736,60.95,NO,,
18,Partial College,Skilled Manual,F,S,0,2,0,0,54626,49.02,YES,,
19,Bachelors,Clerical,M,M,0,2,0,0,83144,49.95,YES,,
56,Graduate Degree,Professional,M,M,1,2,2,2,135029,52.19,YES,,
50,Bachelors,Skilled Manual,F,M,1,0,0,2,52476,48.37,YES,,
43,Bachelors,Clerical,F,S,1,0,0,0,84807,51.68,NO,,
21,High School,Manual,F,S,0,0,0,0,36634,47.45,YES,,
28,Bachelors,Clerical,F,S,0,3,0,0,84866,52.34,NO,,
26,Bachelors,Clerical,M,M,1,1,1,2,79867,51.3,YES,,
55,Graduate Degree,Skilled Manual,M,M,1,0,0,2,51783,48.34,NO,,
53,Graduate Degree,Skilled Manual,F,M,1,1,1,2,55768,49.91,YES,,
38,Partial College,Clerical,F,M,1,2,1,2,80690,53.74,YES,,
23,High School,Manual,F,M,0,0,0,0,30247,46.58,YES,,
40,Partial College,Clerical,M,M,1,2,0,2,83705,54.01,YES,,
26,Bachelors,Management,F,S,0,2,0,0,106597,50.76,NO,,
25,Graduate Degree,Skilled Manual,F,M,0,0,1,2,60958,48.95,YES,,
32,Bachelors,Management,M,S,1,2,0,0,111130,63.85,YES,,
32,Bachelors,Skilled Manual,M,M,1,0,0,1,53604,48.03,YES,,
22,High School,Skilled Manual,F,M,0,1,0,0,57269,48.55,NO,,
33,Bachelors,Skilled Manual,M,S,0,2,0,0,61287,51.94,YES,,
21,High School,Clerical,F,S,0,1,0,0,77098,49.88,NO,,
23,High School,Skilled Manual,M,M,0,2,0,0,52607,47.88,YES,,
44,Bachelors,Professional,M,M,1,2,0,2,130743,56.86,YES,,
37,High School,Skilled Manual,M,M,1,0,1,2,59358,50.77,YES,,
43,High School,Skilled Manual,M,M,1,0,1,1,54025,58.93,YES,,
48,Partial College,Clerical,F,M,1,2,1,2,79556,52.52,YES,,
57,Bachelors,Professional,F,M,1,1,0,2,128521,52.14,NO,,
45,Partial College,Skilled Manual,M,M,1,1,1,2,51642,60.33,YES,,
45,Partial College,Skilled Manual,F,S,1,2,0,0,52484,48.06,YES,,
34,High School,Manual,M,S,0,0,0,0,30051,54.72,YES,,
40,Partial High School,Manual,F,M,1,1,1,1,25495,46.72,NO,,
54,Bachelors,Professional,M,M,1,2,1,2,136250,52.89,YES,,
37,Bachelors,Skilled Manual,F,S,0,0,0,0,51351,50.49,YES,,
34,Bachelors,Professional,M,S,1,2,0,0,134516,54.09,YES,,
24,Partial College,Skilled Manual,M,M,0,2,0,0,58340,47.92,YES,,
47,Partial College,Clerical,M,M,1,3,1,2,78194,51.27,YES,,
27,Graduate Degree,Manual,M,M,0,0,1,2,27849,44.95,NO,,
24,Partial High School,Manual,M,S,0,0,0,0,31315,45.82,NO,,
29,Graduate Degree,Professional,F,M,1,2,2,2,133103,55.68,YES,,
28,High School,Clerical,M,S,0,1,0,0,85953,53.66,YES,,
31,High School,Clerical,F,S,0,0,0,0,78356,53.89,YES,,
31,Graduate Degree,Professional,M,M,1,2,0,0,132022,59.88,YES,,
32,Bachelors,Management,F,M,1,2,0,0,103281,52.11,YES,,
25,Partial High School,Manual,M,S,0,0,0,0,36326,47.59,NO,,
32,Bachelors,Clerical,F,S,0,2,0,0,80632,51.45,YES,,
33,Bachelors,Skilled Manual,F,M,1,1,0,1,54443,48.16,NO,,
31,Partial College,Skilled Manual,M,M,1,1,1,2,53720,51.27,YES,,
44,Bachelors,Professional,M,M,1,2,2,2,138094,57.58,YES,,
33,Bachelors,Clerical,F,S,0,2,0,0,81168,53.38,NO,,
53,Bachelors,Management,M,M,1,0,0,2,110907,51.67,YES,,
50,Partial College,Skilled Manual,M,M,1,2,0,2,55051,48.71,NO,,
47,High School,Skilled Manual,M,M,1,1,1,2,60460,50.25,YES,,
42,Partial College,Management,M,M,1,1,0,2,113065,56.2,NO,,
26,Partial College,Clerical,F,S,0,2,0,0,78659,51.01,YES,,
31,High School,Skilled Manual,F,M,1,0,1,2,60825,49.8,YES,,
38,Partial College,Skilled Manual,M,S,0,0,0,0,51307,54.85,YES,,
56,Graduate Degree,Professional,F,S,1,2,1,1,135850,53.04,YES,,
33,High School,Skilled Manual,F,S,0,1,0,0,56139,50.17,NO,,
47,Partial College,Management,M,M,1,1,0,2,106292,54.08,YES,,
26,Graduate Degree,Clerical,M,M,1,0,1,2,86492,53.3,YES,,
29,Bachelors,Clerical,F,S,0,2,0,0,78270,49.89,YES,,
41,Partial College,Clerical,F,M,1,2,1,2,76306,51.6,YES,,
22,Partial High School,Manual,M,S,0,0,0,0,26611,49.1,NO,,
18,High School,Skilled Manual,F,S,0,1,0,0,53598,50,NO,,
46,Partial High School,Skilled Manual,F,M,1,1,1,2,55540,48.25,YES,,
26,Graduate Degree,Professional,M,M,1,2,0,0,138508,52.1,NO,,
58,Graduate Degree,Management,F,M,1,0,0,3,103553,50.42,YES,,
36,Bachelors,Management,M,S,1,2,0,0,106124,61.62,YES,,
19,Partial College,Clerical,M,M,0,3,0,0,87137,50.42,NO,,
30,Partial High School,Skilled Manual,M,M,1,0,0,1,53321,56.64,NO,,
28,Bachelors,Management,F,S,0,2,0,0,106613,51.41,YES,,
39,High School,Skilled Manual,F,S,1,0,0,0,53096,47.62,YES,,
41,Partial High School,Skilled Manual,M,S,1,1,0,0,60793,52.1,YES,,
33,Partial High School,Manual,M,S,0,1,0,0,30763,59.24,NO,,
31,Graduate Degree,Professional,F,M,1,0,0,2,135185,52.68,NO,,
40,Partial High School,Skilled Manual,M,S,1,1,0,0,57677,59.09,NO,,
40,Bachelors,Clerical,M,M,1,1,1,2,78065,59.07,YES,,
33,Bachelors,Clerical,M,M,1,2,1,2,82159,55.33,YES,,
32,Bachelors,Management,M,M,1,3,1,2,104925,60.88,YES,,
32,Partial College,Skilled Manual,F,S,0,2,0,0,53762,50.67,YES,,
21,Bachelors,Clerical,F,M,0,0,0,0,85651,50.85,NO,,
29,Partial College,Clerical,F,M,1,1,1,1,78680,50.72,YES,,
36,Graduate Degree,Professional,M,M,1,2,0,2,138681,53.75,YES,,
32,High School,Clerical,M,S,0,0,0,0,86677,53.75,YES,,
38,Partial College,Clerical,F,S,1,0,0,0,84713,50.43,YES,,
48,Partial College,Management,F,S,1,3,0,0,102387,51.8,YES,,
27,Partial High School,Manual,M,S,0,0,0,0,26017,47.35,NO,,
32,Partial College,Clerical,M,S,0,2,0,0,78140,56.06,YES,,
42,Partial College,Skilled Manual,F,M,1,2,0,2,57071,49.02,NO,,
44,Graduate Degree,Manual,F,M,1,1,0,1,36338,47,NO,,
32,Bachelors,Skilled Manual,F,M,1,2,0,1,55936,48.44,NO,,
32,Bachelors,Skilled Manual,F,S,0,2,0,0,59776,49.16,NO,,
51,Partial High School,Skilled Manual,F,S,1,1,0,1,53200,50.59,NO,,
34,Partial College,Manual,M,M,1,0,2,2,33934,50.69,YES,,
27,Graduate Degree,Skilled Manual,M,S,0,0,0,0,58601,49.56,NO,,
30,High School,Clerical,F,S,0,3,0,0,78945,51.41,NO,,
21,High School,Manual,F,S,0,0,0,0,32044,48.07,NO,,
84,Partial College,Management,F,S,1,2,1,1,112047,53.7,YES,,
25,High School,Clerical,M,M,1,0,0,1,79952,49.27,YES,,
42,Partial College,Manual,M,M,1,1,0,2,35702,52.27,YES,,
48,Partial College,Skilled Manual,F,M,1,0,1,2,57286,48.22,YES,,
28,Graduate Degree,Skilled Manual,M,M,0,0,0,1,57036,49.26,YES,,
49,Bachelors,Clerical,F,M,1,2,1,1,82552,52.33,YES,,
51,Bachelors,Professional,M,M,1,1,1,2,130517,55.81,YES,,
53,Bachelors,Manual,M,S,1,0,0,1,32990,48.65,YES,,
23,High School,Manual,F,M,0,1,0,0,35976,46.76,NO,,
30,Graduate Degree,Clerical,F,S,0,0,0,0,80570,52.34,YES,,
41,High School,Skilled Manual,F,M,1,1,0,2,58899,48.79,YES,,
24,Partial High School,Skilled Manual,F,S,0,0,0,0,61956,52.08,NO,,
41,High School,Manual,M,M,1,1,0,2,27870,46.65,NO,,
30,Bachelors,Skilled Manual,M,S,0,2,0,0,51704,52.13,YES,,
20,Partial College,Management,F,S,0,0,0,0,105891,54.67,NO,,
36,Partial College,Clerical,F,M,1,3,0,2,82216,49.39,YES,,
31,Bachelors,Skilled Manual,F,S,0,1,0,0,58372,48.93,NO,,
61,Partial College,Skilled Manual,F,M,1,1,1,2,56626,52.89,YES,,
33,Partial College,Skilled Manual,M,M,1,2,0,1,53367,55.4,NO,,
19,Partial High School,Manual,M,S,0,0,0,0,28750,45.95,NO,,
